#,Sequences,ADD(%),ADD-S(%),CD(cm),F5(%)
1,ZY20210800002_H2_C7_N41_S57_s04_T1,81.43,93.70,1.284,51.87
2,ZY20210800002_H2_C7_N42_S57_s05_T1,89.81,95.46,0.957,63.16
3,ZY20210800002_H2_C7_N45_S58_s01_T1,83.78,94.33,1.169,59.22
4,ZY20210800002_H2_C7_N46_S58_s02_T1,91.53,95.56,0.901,66.94
5,ZY20210800002_H2_C7_N47_S58_s02_T1,87.44,94.25,1.156,46.58
6,ZY20210800002_H2_C7_N48_S58_s03_T1,90.04,95.12,0.977,63.40
7,ZY20210800002_H2_C7_N49_S58_s03_T1,86.99,95.43,0.928,62.75
8,ZY20210800002_H2_C7_N50_S58_s04_T1,57.90,96.04,0.806,73.67
9,ZY20210800003_H3_C1_N44_S84_s01_T2,44.86,80.05,4.012,21.61
10,ZY20210800003_H3_C1_N45_S84_s02_T1,86.45,92.57,1.496,34.97
11,ZY20210800004_H4_C12_N44_S235_s05_T1,88.30,93.12,1.390,41.65
12,ZY20210800004_H4_C12_N45_S236_s01_T1,85.16,91.68,1.676,32.35
13,ZY20210800004_H4_C12_N46_S236_s01_T1,86.51,92.56,1.521,39.35
14,ZY20210800004_H4_C12_N47_S236_s01_T1,90.34,93.94,1.221,46.78
15,ZY20210800004_H4_C12_N48_S236_s01_T1,86.13,92.23,1.558,40.02
16,ZY20210800004_H4_C12_N49_S236_s02_T1,89.50,93.80,1.247,47.03
17,ZY20210800004_H4_C12_N50_S186_s02_T2,81.51,90.86,1.841,28.92
18,ZY20210800004_H4_C12_N50_S236_s02_T1,91.00,94.51,1.109,54.21
19,ZY20210800004_H4_C13_N44_S233_s05_T1,88.81,94.71,1.055,63.79
20,ZY20210800004_H4_C13_N45_S233_s05_T1,88.50,93.95,1.219,58.60
21,ZY20210800004_H4_C13_N46_S186_s01_T3,87.97,94.48,1.153,62.12
22,ZY20210800004_H4_C13_N47_S234_s01_T1,84.99,93.14,1.367,55.33
23,ZY20210800004_H4_C13_N48_S234_s01_T1,88.21,93.81,1.245,65.13
24,ZY20210800004_H4_C13_N49_S234_s01_T1,88.20,93.96,1.219,54.64
25,ZY20210800004_H4_C13_N50_S186_s02_T3,91.74,95.85,0.839,75.86
26,ZY20210800004_H4_C13_N50_S234_s02_T1,87.56,94.51,1.154,58.51
27,ZY20210800004_H4_C1_N46_S240_s02_T2,82.75,91.63,1.711,34.20
28,ZY20210800004_H4_C1_N47_S240_s02_T2,84.07,93.47,1.323,60.23
29,ZY20210800004_H4_C1_N48_S240_s02_T2,79.91,89.83,2.110,45.58
30,ZY20210800004_H4_C1_N49_S240_s03_T2,88.80,94.11,1.185,49.10
31,ZY20210800004_H4_C1_N50_S240_s03_T2,90.46,94.20,1.169,47.59
32,ZY20210800004_H4_C1_N50_S6_s02_T1,72.45,86.71,2.689,47.83
33,ZY20210800004_H4_C2_N40_S10_s05_T1,87.29,94.71,1.076,65.09
34,ZY20210800004_H4_C2_N43_S15_s01_T5,59.92,78.65,4.201,43.91
35,ZY20210800004_H4_C2_N44_S364_s05_T6,86.14,94.93,1.018,63.40
36,ZY20210800004_H4_C2_N45_S5_s01_T1,75.54,88.41,2.321,44.98
37,ZY20210800004_H4_C2_N47_S16_s02_T1,90.85,96.26,0.751,82.01
38,ZY20210800004_H4_C2_N48_S16_s02_T1,87.86,95.11,1.016,65.09
39,ZY20210800004_H4_C2_N49_S16_s03_T1,92.52,96.27,0.757,80.86
40,ZY20210800004_H4_C2_N49_S16_s03_T5,73.68,88.67,2.282,55.42
41,ZY20210800004_H4_C5_N20_S109_s03_T5,64.00,87.74,2.653,28.03
42,ZY20210800004_H4_C5_N23_S109_s04_T5,39.72,89.63,2.109,30.83
43,ZY20210800004_H4_C5_N26_S113_s01_T1,85.60,93.91,1.236,56.91
44,ZY20210800004_H4_C5_N27_S113_s01_T5,41.11,77.85,4.672,19.45
45,ZY20210800004_H4_C5_N28_S113_s02_T5,67.38,92.56,1.615,44.91
46,ZY20210800004_H4_C5_N29_S113_s02_T5,75.81,92.84,1.448,43.54
47,ZY20210800004_H4_C5_N31_S56_s03_T1,87.75,93.61,1.290,43.80
48,ZY20210800004_H4_C5_N32_S56_s03_T1,87.07,93.33,1.343,43.41
,MEAN,81.36,92.38,1.552,51.35
